SrNo,Parameter,Unit,Date,Value,Data Source,Location,Latitude,Longitude
1179,Turbidity,NTU,"[01-07-2018, 31-07-2018]",113.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1180,TH as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",214.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1181,Ca as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",122.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1182,Mg as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",92.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1183,Sulphate,mg/l,"[01-07-2018, 31-07-2018]",62.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1184,Chloride,mg/l,"[01-07-2018, 31-07-2018]",45.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1185,Total alkalinity as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",246.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1186,P-Alkalinity,mg/l,"[01-07-2018, 31-07-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1187,Fluoride,mg/l,"[01-07-2018, 31-07-2018]",0.13,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1188,Colour,Hazen,"[01-07-2018, 31-07-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1189,Boron(B),mg/l,"[01-07-2018, 31-07-2018]",0.12,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1190,TKN,mg/l,"[01-07-2018, 31-07-2018]",4.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1191,Potassium,mg/l,"[01-07-2018, 31-07-2018]",10.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1192,Sodium,mg/l,"[01-07-2018, 31-07-2018]",43.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1193,Total Coliform,MPN/100ml,"[01-07-2018, 31-07-2018]",5.4E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1194,Faecal Coliform,MPN/100ml,"[01-07-2018, 31-07-2018]",4E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1195,pH,-,"[01-08-2018, 31-08-2018]",7.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1196,Conductivity,µs/cm,"[01-08-2018, 31-08-2018]",559.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1197,DO,mg/l,"[01-08-2018, 31-08-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1198,COD,mg/l,"[01-08-2018, 31-08-2018]",82.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1199,BOD,mg/l,"[01-08-2018, 31-08-2018]",49.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1200,NO3-N,mg/l,"[01-08-2018, 31-08-2018]",2.8,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1201,NH3-N,mg/l,"[01-08-2018, 31-08-2018]",15.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1202,Phosphate,mg/l,"[01-08-2018, 31-08-2018]",1.03,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1203,TSS,mg/l,"[01-08-2018, 31-08-2018]",62.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1204,TDS,mg/l,"[01-08-2018, 31-08-2018]",345.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1205,FS,mg/l,"[01-08-2018, 31-08-2018]",289.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1206,Turbidity,NTU,"[01-08-2018, 31-08-2018]",92.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1207,TH as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",210.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1208,Ca as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",120.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1209,Mg as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",90.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1210,Sulphate,mg/l,"[01-08-2018, 31-08-2018]",54.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1211,Chloride,mg/l,"[01-08-2018, 31-08-2018]",42.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1212,Total alkalinity as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",224.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1213,P-Alkalinity,mg/l,"[01-08-2018, 31-08-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1214,Fluoride,mg/l,"[01-08-2018, 31-08-2018]",0.14,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1215,Colour,Hazen,"[01-08-2018, 31-08-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1216,Boron(B),mg/l,"[01-08-2018, 31-08-2018]",0.15,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1217,TKN,mg/l,"[01-08-2018, 31-08-2018]",4.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1218,Potassium,mg/l,"[01-08-2018, 31-08-2018]",10.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1219,Sodium,mg/l,"[01-08-2018, 31-08-2018]",43.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1220,Total Coliform,MPN/100ml,"[01-08-2018, 31-08-2018]",2.7E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1221,Faecal Coliform,MPN/100ml,"[01-08-2018, 31-08-2018]",1.4E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1222,pH,-,"[01-09-2018, 30-09-2018]",7.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1223,Conductivity,µs/cm,"[01-09-2018, 30-09-2018]",724.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1224,DO,mg/l,"[01-09-2018, 30-09-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1225,COD,mg/l,"[01-09-2018, 30-09-2018]",114.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1226,BOD,mg/l,"[01-09-2018, 30-09-2018]",82.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1227,NO3-N,mg/l,"[01-09-2018, 30-09-2018]",1.2,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1228,NH3-N,mg/l,"[01-09-2018, 30-09-2018]",19.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1229,Phosphate,mg/l,"[01-09-2018, 30-09-2018]",1.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1230,TSS,mg/l,"[01-09-2018, 30-09-2018]",37.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1231,TDS,mg/l,"[01-09-2018, 30-09-2018]",390.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1232,FS,mg/l,"[01-09-2018, 30-09-2018]",317.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1233,Turbidity,NTU,"[01-09-2018, 30-09-2018]",96.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1234,TH as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",242.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1235,Ca as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",138.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1236,Mg as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",104.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1237,Sulphate,mg/l,"[01-09-2018, 30-09-2018]",63.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1238,Chloride,mg/l,"[01-09-2018, 30-09-2018]",42.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1239,Total alkalinity as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",264.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1240,P-Alkalinity,mg/l,"[01-09-2018, 30-09-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1241,Fluoride,mg/l,"[01-09-2018, 30-09-2018]",0.13,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1242,Colour,Hazen,"[01-09-2018, 30-09-2018]",30.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1243,Boron(B),mg/l,"[01-09-2018, 30-09-2018]",0.08,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1244,TKN,mg/l,"[01-09-2018, 30-09-2018]",5.3,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1245,Potassium,mg/l,"[01-09-2018, 30-09-2018]",11.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1246,Sodium,mg/l,"[01-09-2018, 30-09-2018]",47.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1247,Total Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",2.7E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1248,Faecal Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",8.6E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1249,pH,-,"[01-10-2018, 31-10-2018]",7.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1250,Conductivity,µs/cm,"[01-10-2018, 31-10-2018]",584.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1251,DO,mg/l,"[01-10-2018, 31-10-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1252,COD,mg/l,"[01-10-2018, 31-10-2018]",160.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1253,BOD,mg/l,"[01-10-2018, 31-10-2018]",79.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1254,NO3-N,mg/l,"[01-10-2018, 31-10-2018]",1.5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1255,NH3-N,mg/l,"[01-10-2018, 31-10-2018]",23.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1256,Phosphate,mg/l,"[01-10-2018, 31-10-2018]",2.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1257,TSS,mg/l,"[01-10-2018, 31-10-2018]",100.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1258,TDS,mg/l,"[01-10-2018, 31-10-2018]",384.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1259,FS,mg/l,"[01-10-2018, 31-10-2018]",280.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1260,Turbidity,NTU,"[01-10-2018, 31-10-2018]",112.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1261,TH as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",220.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1262,Ca as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",128.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1263,Mg as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",92.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1264,Sulphate,mg/l,"[01-10-2018, 31-10-2018]",68.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1265,Chloride,mg/l,"[01-10-2018, 31-10-2018]",40.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1266,Total alkalinity as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",234.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1267,P-Alkalinity,mg/l,"[01-10-2018, 31-10-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1268,Fluoride,mg/l,"[01-10-2018, 31-10-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1269,Colour,Hazen,"[01-10-2018, 31-10-2018]",30.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1270,Boron(B),mg/l,"[01-10-2018, 31-10-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1271,TKN,mg/l,"[01-10-2018, 31-10-2018]",4.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1272,Potassium,mg/l,"[01-10-2018, 31-10-2018]",12.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1273,Sodium,mg/l,"[01-10-2018, 31-10-2018]",28.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1274,Total Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",2.7E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1275,Faecal Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",8E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1276,pH,-,"[01-11-2018, 30-11-2018]",7.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1277,Conductivity,µs/cm,"[01-11-2018, 30-11-2018]",611.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1278,DO,mg/l,"[01-11-2018, 30-11-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1279,COD,mg/l,"[01-11-2018, 30-11-2018]",204.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1280,BOD,mg/l,"[01-11-2018, 30-11-2018]",65.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1281,NO3-N,mg/l,"[01-11-2018, 30-11-2018]",2.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1282,NH3-N,mg/l,"[01-11-2018, 30-11-2018]",23.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1283,Phosphate,mg/l,"[01-11-2018, 30-11-2018]",2.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1284,TSS,mg/l,"[01-11-2018, 30-11-2018]",120.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1285,TDS,mg/l,"[01-11-2018, 30-11-2018]",300.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1286,FS,mg/l,"[01-11-2018, 30-11-2018]",248.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1287,Turbidity,NTU,"[01-11-2018, 30-11-2018]",119.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1288,TH as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",220.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1289,Ca as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",142.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1290,Mg as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",78.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1291,Sulphate,mg/l,"[01-11-2018, 30-11-2018]",74.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1292,Chloride,mg/l,"[01-11-2018, 30-11-2018]",41.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1293,Total alkalinity as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",266.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1294,P-Alkalinity,mg/l,"[01-11-2018, 30-11-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1295,Fluoride,mg/l,"[01-11-2018, 30-11-2018]",0.12,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1296,Colour,Hazen,"[01-11-2018, 30-11-2018]",30.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1297,Boron(B),mg/l,"[01-11-2018, 30-11-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1298,TKN,mg/l,"[01-11-2018, 30-11-2018]",26.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1299,Potassium,mg/l,"[01-11-2018, 30-11-2018]",22.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1300,Sodium,mg/l,"[01-11-2018, 30-11-2018]",17.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1301,Total Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",1.8E+7,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1302,Faecal Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",8E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1303,pH,-,"[01-12-2018, 31-12-2018]",7.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1304,Conductivity,µs/cm,"[01-12-2018, 31-12-2018]",696.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1305,DO,mg/l,"[01-12-2018, 31-12-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1306,COD,mg/l,"[01-12-2018, 31-12-2018]",228.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1307,BOD,mg/l,"[01-12-2018, 31-12-2018]",69.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1308,NO3-N,mg/l,"[01-12-2018, 31-12-2018]",6.3,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1309,NH3-N,mg/l,"[01-12-2018, 31-12-2018]",29.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1310,Phosphate,mg/l,"[01-12-2018, 31-12-2018]",3.3,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1311,TSS,mg/l,"[01-12-2018, 31-12-2018]",113.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1312,TDS,mg/l,"[01-12-2018, 31-12-2018]",318.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1313,FS,mg/l,"[01-12-2018, 31-12-2018]",324.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1314,Turbidity,NTU,"[01-12-2018, 31-12-2018]",112.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1315,TH as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",220.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1316,Ca as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",140.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1317,Mg as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",80.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1318,Sulphate,mg/l,"[01-12-2018, 31-12-2018]",66.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1319,Chloride,mg/l,"[01-12-2018, 31-12-2018]",40.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1320,Total alkalinity as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",282.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1321,P-Alkalinity,mg/l,"[01-12-2018, 31-12-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1322,Fluoride,mg/l,"[01-12-2018, 31-12-2018]",0.12,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1323,Colour,Hazen,"[01-12-2018, 31-12-2018]",30.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1324,Boron(B),mg/l,"[01-12-2018, 31-12-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1325,TKN,mg/l,"[01-12-2018, 31-12-2018]",10.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1326,Potassium,mg/l,"[01-12-2018, 31-12-2018]",2.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1327,Sodium,mg/l,"[01-12-2018, 31-12-2018]",39.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1328,Total Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",7.6E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1329,Faecal Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",1.1E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1330,Temperature (Min),°C,"[01-01-2021, 31-12-2021]",16.0,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1331,Temperature (Max),°C,"[01-01-2021, 31-12-2021]",32.0,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1332,DO (Min),mg/l,"[01-01-2021, 31-12-2021]",0.3,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1333,DO (Max),mg/l,"[01-01-2021, 31-12-2021]",9.1,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1334,pH (Min),-,"[01-01-2021, 31-12-2021]",6.9,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1335,pH (Max),-,"[01-01-2021, 31-12-2021]",7.8,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1336,Conductivity (Min),µs/cm,"[01-01-2021, 31-12-2021]",460.0,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1337,Conductivity (Max),µs/cm,"[01-01-2021, 31-12-2021]",669.0,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1338,BOD (Min),mg/l,"[01-01-2021, 31-12-2021]",2.1,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1339,BOD (Max),mg/l,"[01-01-2021, 31-12-2021]",185.0,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1340,NO3-N (Min),mg/l,"[01-01-2021, 31-12-2021]",0.5,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1341,NO3-N (Max),mg/l,"[01-01-2021, 31-12-2021]",2.2,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1342,Faecal Coliform (Min),MPN/100ml,"[01-01-2021, 31-12-2021]",2700.0,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1343,Faecal Coliform (Max),MPN/100ml,"[01-01-2021, 31-12-2021]",6.9E+6,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1344,Total Coliform (Min),MPN/100ml,"[01-01-2021, 31-12-2021]",1.72E+4,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1345,Total Coliform (Max),MPN/100ml,"[01-01-2021, 31-12-2021]",7.6E+7,CPCB 2021 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1346,Temperature (Min),°C,"[01-01-2023, 31-12-2023]",15.0,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1347,Temperature (Max),°C,"[01-01-2023, 31-12-2023]",29.0,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1348,DO (Min),mg/l,"[01-01-2023, 31-12-2023]",0.3,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1349,DO (Max),mg/l,"[01-01-2023, 31-12-2023]",8.8,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1350,pH (Min),-,"[01-01-2023, 31-12-2023]",7.1,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1351,pH (Max),-,"[01-01-2023, 31-12-2023]",7.8,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1352,Conductivity (Min),µs/cm,"[01-01-2023, 31-12-2023]",150.0,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1353,Conductivity (Max),µs/cm,"[01-01-2023, 31-12-2023]",793.0,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1354,BOD (Min),mg/l,"[01-01-2023, 31-12-2023]",3.0,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1355,BOD (Max),mg/l,"[01-01-2023, 31-12-2023]",118.0,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1356,NO3-N (Min),mg/l,"[01-01-2023, 31-12-2023]",0.9,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1357,NO3-N (Max),mg/l,"[01-01-2023, 31-12-2023]",4.3,CPCB 2023 Exit Point,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
